image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.90505,bus,van,False
drive_022,2,5,0.608035,truck,bus,False
drive_022,3,4,0.483244,car,car,True
drive_022,4,3,0.690064,car,car,True
drive_022,5,1,0.632863,car,car,True
drive_033,1,11,0.880548,car,car,True
drive_033,2,2,0.577378,truck,bus,False
drive_033,3,1,0.885165,bus,van,False
drive_033,4,8,0.73625,car,car,True
drive_033,5,7,0.674137,car,car,True
drive_033,6,3,0.544284,car,car,True
drive_033,7,4,0.458402,car,car,True
drive_033,8,5,0.475539,car,car,True
drive_033,9,6,0.547615,car,car,True
drive_033,10,10,0.72239,car,car,True
drive_033,11,12,0.840673,bus,van,False
drive_033,18,9,0.690927,car,car,True
drive_038,1,5,0.690734,truck,bus,False
drive_038,2,4,0.84736,car,car,True
drive_038,3,3,0.90113,car,car,True
drive_038,4,2,0.963423,car,car,True
drive_038,5,1,0.88905,car,car,True
drive_038,6,8,0.779918,car,car,True
drive_038,7,7,0.887101,car,car,True
drive_038,8,6,0.789183,car,car,True
drive_038,9,12,0.715029,car,car,True
drive_038,10,11,0.856376,car,car,True
drive_038,11,10,0.841916,car,car,True
drive_038,12,9,0.832726,truck,bus,False
drive_038,13,14,0.776371,car,car,True
drive_038,14,13,0.665857,car,car,True
drive_038,15,15,0.799977,van,truck,False
drive_038,16,17,0.853294,car,car,True
drive_038,17,16,0.6135,car,car,True
drive_008,1,16,0.726093,car,car,True
drive_008,2,11,0.749066,car,car,True
drive_008,3,4,0.710051,car,car,True
drive_008,5,2,0.711406,car,car,True
drive_008,6,5,0.87678,van,truck,False
drive_008,7,3,0.752175,van,truck,False
drive_008,8,6,0.773239,car,car,True
drive_008,12,9,0.960861,bus,van,False
drive_008,14,1,0.692444,truck,bus,False
drive_008,15,7,0.647318,car,car,True
drive_008,16,13,0.689509,car,car,True
drive_008,17,14,0.81196,car,car,True
drive_008,18,15,0.433667,car,car,True
drive_008,32,12,0.705516,van,truck,False
